USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
parasshivprasadkulkarni  4499   0.0  0.1 410885600   6112   ??  Ss    3:16PM   0:00.16 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/AccountSubscriber.xpc/Contents/MacOS/AccountSubscriber
_rmd              4498   0.0  0.0 410753456   4128   ??  Ss    3:16PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/DiskManagementSubscriber.xpc/Contents/MacOS/DiskManagementSubscriber
parasshivprasadkulkarni  4497   0.0  0.0 410753472   4112   ??  Ss    3:16PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
_rmd              4496   0.0  0.0 410753472   4112   ??  Ss    3:16PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
parasshivprasadkulkarni  4495   0.0  0.0 410753440   4096   ??  Ss    3:16PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
_rmd              4493   0.0  0.0 410754000   4096   ??  Ss    3:16PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
root              4494   0.0  0.0 426916800   2240   ??  Ss    3:16PM   0:00.06 /usr/libexec/smd
parasshivprasadkulkarni  4489   0.0  0.1 410753968   5840   ??  Ss    3:16PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
parasshivprasadkulkarni  4488   0.0  0.0 410753424   4144   ??  Ss    3:16PM   0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
_rmd              4487   0.0  0.1 410885024   5840   ??  Ss    3:16PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
parasshivprasadkulkarni  4486   0.0  0.1 410753504   4256   ??  Ss    3:16PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
_rmd              4485   0.0  0.0 410753424   4144   ??  Ss    3:16PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
parasshivprasadkulkarni  4484   0.0  0.1 410788976   5936   ??  Ss    3:16PM   0:00.11 /System/Library/PrivateFrameworks/SafariFoundation.framework/Versions/A/XPCServices/SafariConfigurationSubscriber.xpc/Contents/MacOS/SafariConfigurationSubscriber
_rmd              4483   0.0  0.0 410753488   4048   ??  Ss    3:16PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
parasshivprasadkulkarni  4482   0.0  0.1 426952400   5616   ??  S     3:16PM   0:01.98 /usr/libexec/proactiveeventtrackerd
parasshivprasadkulkarni  4481   0.0  0.1 426952368   6272   ??  S     3:16PM   0:00.17 /System/Library/PrivateFrameworks/RemoteManagement.framework/RemoteManagementAgent
_rmd              4479   0.0  0.1 426951840   6224   ??  Ss    3:16PM   0:00.18 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
root              4480   0.0  0.0 426955072   4000   ??  Ss    3:16PM   0:00.20 /usr/libexec/dprivacyd
